product_id,name,category,price,stock
1,Eco Water Bottle,Home,19.99,120
2,Smart Fitness Band,Electronics,59.99,80
3,Noise Cancelling Headphones,Electronics,129.50,60
4,UltraSoft Hoodie,Apparel,48.00,90
5,Minimalist Backpack,Accessories,72.25,110
6,Bamboo Cutting Board,Home,24.99,150
7,Ceramic Planter,Garden,35.50,75
8,LED Desk Lamp,Home Office,42.00,95
9,Wireless Charger Pad,Electronics,28.75,130
10,Stainless Travel Mug,Home,21.50,160
11,Organic Cotton Sheets,Home,89.99,50
12,Aromatherapy Diffuser,Wellness,34.50,85
13,Yoga Starter Kit,Wellness,64.00,70
14,Portable Blender,Kitchen,54.99,65
15,Bluetooth Speaker,Electronics,79.00,100
16,Leather Journal,Office,26.50,140
17,Scented Candle Set,Home,31.75,120
18,Gaming Mouse,Electronics,49.99,75
19,Trail Running Shoes,Apparel,92.50,55
20,Insulated Picnic Tote,Outdoors,44.00,105
